Rk,Cmp,Att,Cmp%,TotDist,Ast,xA,KP
476,719,864,83.2,15703,0,0.0,1
477,120,140,85.7,1823,1,1.5,10
478,1414,1733,81.6,29753,9,6.6,66
479,1096,1301,84.2,22106,2,1.8,29
480,346,395,87.6,7129,0,0.0,1
481,1,1,100.0,19,0,0.2,1
482,1094,1365,80.1,19713,2,1.8,17
483,980,1297,75.6,17235,3,2.3,21
484,403,505,79.8,9983,0,0.1,2
485,94,144,65.3,1456,0,0.8,8
486,70,103,68.0,1166,0,0.2,3
487,205,238,86.1,4419,0,0.0,0
488,14,16,87.5,170,0,0.0,0
489,702,914,76.8,13800,2,1.8,22
490,79,95,83.2,1839,0,0.0,0
491,263,358,73.5,4592,1,1.3,8
492,702,865,81.2,14269,1,0.7,4
493,745,849,87.8,16775,0,0.0,0
494,290,462,62.8,5690,1,1.0,12
495,198,275,72.0,3593,0,1.1,10
496,627,821,76.4,10587,5,3.1,32
497,478,536,89.2,11899,0,0.0,2
498,237,346,68.5,3241,0,0.8,10
499,848,1096,77.4,16922,3,2.1,38
500,40,63,63.5,494,0,0.7,2
501,828,994,83.3,19123,0,0.2,2
502,238,264,90.2,4096,1,0.3,5
503,76,123,61.8,1998,0,0.0,0
504,44,66,66.7,617,0,0.1,1
505,240,349,68.8,4058,2,1.2,8
506,97,106,91.5,2022,0,0.0,0
507,609,833,73.1,10231,6,5.5,46
508,1528,1956,78.1,26142,3,3.5,36
509,454,488,93.0,9089,0,0.0,0
510,9,14,64.3,136,0,0.0,0
511,429,556,77.2,9784,0,0.4,8
512,428,494,86.6,7799,1,0.1,3
513,459,640,71.7,8098,0,2.9,44
514,1166,1258,92.7,26592,0,1.1,4
515,553,750,73.7,10360,2,3.3,35
516,7,11,63.6,124,0,0.0,1
517,35,99,35.4,1422,0,0.0,0
518,992,1228,80.8,20141,4,3.0,42
519,597,712,83.8,11799,0,0.2,3
520,474,759,62.5,14582,1,0.1,1
521,1029,1360,75.7,18352,1,1.0,14
522,57,63,90.5,983,0,0.1,1
523,37,44,84.1,748,0,0.0,0
524,688,808,85.1,14976,0,0.6,5
525,253,322,78.6,5411,0,0.0,1
526,5,7,71.4,73,0,0.0,0
527,504,600,84.0,8313,1,0.8,21
528,0,3,0.0,0,0,0.0,0
529,2,2,100.0,33,0,0.0,0
530,41,61,67.2,894,0,0.0,0
531,7,7,100.0,74,0,0.0,0
532,709,968,73.2,11856,2,1.9,10
533,366,470,77.9,5942,0,0.5,14
534,1531,1782,85.9,42431,0,0.7,5
535,3,3,100.0,27,0,0.0,0
536,480,584,82.2,8886,0,0.5,9
537,463,577,80.2,8864,0,0.4,7
538,813,1058,76.8,14368,1,0.5,8
539,9,10,90.0,127,0,0.0,0
540,37,42,88.1,508,1,0.6,2
541,1089,1324,82.3,25579,1,0.4,6
542,1346,1768,76.1,25666,2,1.4,20
543,82,98,83.7,1914,0,0.0,0
544,2,2,100.0,44,0,0.0,0
545,466,540,86.3,8049,0,0.0,1
546,610,796,76.6,10975,3,3.9,33
547,755,900,83.9,15249,1,0.2,2
548,126,163,77.3,1737,1,0.3,6
549,778,995,78.2,18872,0,0.8,4
550,888,1060,83.8,15360,2,1.5,9
551,560,719,77.9,11160,0,0.9,13
552,993,1222,81.3,22730,0,0.3,3
553,885,984,89.9,17359,0,0.2,7
554,53,59,89.8,1177,0,0.0,0
555,149,186,80.1,2694,0,0.5,7
556,316,458,69.0,4632,4,1.1,14
557,320,408,78.4,5183,2,1.5,20
558,54,76,71.1,781,1,0.8,3
559,45,80,56.3,728,0,0.0,0
560,743,933,79.6,12442,0,0.7,10
561,293,413,70.9,4529,3,1.6,18
562,499,690,72.3,8222,3,2.7,25
563,77,141,54.6,1450,2,0.8,3
564,454,603,75.3,6249,6,4.2,29
565,578,697,82.9,8842,2,2.8,32
566,381,513,74.3,7041,0,0.2,6
567,107,134,79.9,2069,0,0.1,2
568,19,38,50.0,243,0,0.2,2
569,25,28,89.3,575,0,0.0,0
570,408,626,65.2,7946,4,3.7,21
571,260,366,71.0,3946,4,1.8,13
572,392,490,80.0,7019,4,3.4,33
573,672,818,82.2,12027,1,0.6,8
574,97,152,63.8,1384,0,0.3,5
575,182,198,91.9,3688,0,0.0,0
576,633,886,71.4,20378,0,0.0,0
577,199,336,59.2,2690,0,0.9,13
578,322,383,84.1,7610,0,0.0,1
579,378,549,68.9,6858,7,2.2,16
580,849,1084,78.3,21914,0,0.0,0
581,709,867,81.8,12745,6,3.5,31
582,193,233,82.8,4063,0,0.0,0
583,305,475,64.2,9238,0,0.0,1
584,1241,1681,73.8,21623,0,1.9,23
585,964,1250,77.1,20196,0,1.4,22
586,915,1072,85.4,19507,3,1.6,21
587,41,49,83.7,737,0,0.2,3
588,232,313,74.1,4126,0,0.5,7
589,2054,2321,88.5,37739,5,4.5,45
590,315,448,70.3,4812,1,1.3,17
591,939,1408,66.7,16001,5,4.7,49
592,423,823,51.4,19260,0,0.0,0
593,14,16,87.5,232,0,0.0,0
594,156,192,81.3,3057,0,0.2,4
595,120,176,68.2,2649,0,0.4,7
596,74,96,77.1,1208,1,0.3,3
597,8,12,66.7,114,0,0.0,0
598,120,169,71.0,1694,1,1.0,7
599,38,56,67.9,487,0,0.0,1
