Rk,Gls,Sh,SoT,SoT%,SoT/90,G/Sh,PK,PKatt,xG
2608,0,30,6,20.0,0.30,0.00,0,0,1.5
2609,0,0,0,,0.00,,0,0,0.0
2610,0,15,3,20.0,0.11,0.00,0,0,1.3
2611,0,19,6,31.6,0.40,0.00,0,0,0.9
2612,3,17,5,29.4,0.85,0.18,0,0,2.8
2613,0,2,2,100.0,0.60,0.00,0,0,0.9
2614,0,0,0,,0.00,,0,0,0.0
2615,1,5,2,40.0,0.75,0.00,1,1,1.1
2616,0,5,0,0.0,0.00,0.00,0,0,0.4
2617,0,0,0,,0.00,,0,0,0.0
2618,3,17,11,64.7,0.81,0.18,0,0,2.2
2619,0,3,0,0.0,0.00,0.00,0,0,0.1
2620,6,64,17,26.6,1.02,0.08,1,1,7.9
2621,0,0,0,,0.00,,0,0,0.0
2622,0,1,0,0.0,0.00,0.00,0,0,0.1
2623,0,1,0,0.0,0.00,0.00,0,0,0.0
2624,10,75,32,42.7,1.41,0.13,0,0,11.5
2625,1,14,3,21.4,0.42,0.07,0,0,1.6
2626,4,20,6,30.0,0.19,0.20,0,0,1.8
2627,0,0,0,,0.00,,0,0,0.0
2628,0,0,0,,0.00,,0,0,0.0
2629,0,4,1,25.0,0.06,0.00,0,0,0.2
2630,2,18,10,55.6,1.10,0.11,0,0,3.7
2631,0,2,0,0.0,0.00,0.00,0,0,0.2
2632,0,1,0,0.0,0.00,0.00,0,0,0.0
2633,0,0,0,,0.00,,0,0,0.0
2634,0,14,1,7.1,0.07,0.00,0,0,0.4
2635,0,10,3,30.0,0.24,0.00,0,0,0.9
2636,2,28,10,35.7,0.70,0.07,0,0,2.7
2637,7,39,9,23.1,0.64,0.10,3,3,5.0
2638,1,13,3,23.1,0.11,0.08,0,0,0.9
2639,0,2,0,0.0,0.00,0.00,0,0,0.1
2640,0,1,0,0.0,0.00,0.00,0,0,0.0
2641,0,0,0,,0.00,,0,0,0.0
2642,0,1,0,0.0,0.00,0.00,0,0,0.1
2643,0,9,1,11.1,0.03,0.00,0,0,0.9
2644,0,0,0,,0.00,,0,0,0.0
2645,0,5,1,20.0,0.04,0.00,0,0,0.3
2646,5,54,23,42.6,0.61,0.07,1,3,7.0
2647,1,16,4,25.0,0.13,0.06,0,0,1.2
2648,0,0,0,,0.00,,0,0,0.0
2649,0,1,0,0.0,0.00,0.00,0,0,0.0
2650,3,16,7,43.8,0.24,0.19,0,0,1.1
2651,16,82,35,42.7,1.15,0.15,4,4,15.0
2652,1,9,3,33.3,0.26,0.11,0,0,0.3
2653,1,7,1,14.3,0.08,0.14,0,0,1.1
2654,2,21,9,42.9,0.99,0.10,0,0,3.5
2655,0,11,1,9.1,0.05,0.00,0,0,0.3
2656,2,9,3,33.3,0.16,0.22,0,0,1.3
2657,28,117,59,50.4,1.90,0.21,3,3,22.1
2658,2,13,3,23.1,0.09,0.15,0,0,1.1
2659,1,4,2,50.0,1.87,0.25,0,0,1.4
2660,0,0,0,,0.00,,0,0,0.0
2661,4,36,15,41.7,0.46,0.11,0,0,2.9
2662,2,14,6,42.9,0.36,0.14,0,0,0.6
2663,1,17,6,35.3,0.40,0.06,0,0,1.4
2664,1,6,2,33.3,0.18,0.17,0,0,0.7
2665,6,45,21,46.7,0.64,0.11,1,2,7.3
2666,0,7,1,14.3,0.39,0.00,0,0,0.3
2667,9,67,26,38.8,0.90,0.07,4,4,7.2
2668,1,14,4,28.6,0.42,0.07,0,0,2.3
2669,0,0,0,,0.00,,0,0,0.0
2670,8,54,22,40.7,0.68,0.15,0,0,10.1
2671,7,54,19,35.2,1.04,0.13,0,0,4.5
2672,0,14,2,14.3,0.08,0.00,0,0,0.5
2673,1,4,3,75.0,0.74,0.25,0,0,0.3
2674,4,28,7,25.0,0.28,0.14,0,0,2.2
2675,0,0,0,,0.00,,0,0,0.0
2676,1,14,2,14.3,0.13,0.07,0,0,1.0
2677,0,1,0,0.0,0.00,0.00,0,0,0.0
2678,14,64,28,43.8,1.03,0.20,1,1,12.9
2679,0,9,3,33.3,0.38,0.00,0,0,1.0
2680,1,11,3,27.3,0.10,0.09,0,0,0.4
2681,0,2,0,0.0,0.00,0.00,0,0,0.0
2682,5,26,12,46.2,1.09,0.19,0,0,2.0
2683,1,20,3,15.0,0.32,0.00,1,1,1.9
2684,1,1,1,100.0,0.10,1.00,0,0,0.6
2685,0,0,0,,0.00,,0,0,0.0
2686,0,11,2,18.2,0.09,0.00,0,0,0.3
2687,0,4,3,75.0,0.48,0.00,0,0,0.5
2688,0,5,1,20.0,0.08,0.00,0,0,0.2
2689,0,3,2,66.7,1.10,0.00,0,0,0.4
2690,1,7,1,14.3,0.51,0.14,0,0,0.9
